Pharmacy_Name,Area,Medicine_Name,Medicine_Category,Stock_Quantity,Reorder_Level,Daily_Usage,Demand_Level,Delivery_Time_Days,Season,Disease_Outbreak,Date,Availability,Contact_Number,Opening_Hour,Closing_Hour,Home_Delivery,Delivery_Time_Minutes,Pharmacy_Type,Last_Updated
Wellness,Bandra,Cetrizine,Allergy,51,27,6,Low,6,Winter,No,2025-11-29,Available,9184868032,8,23,Yes,58,Hospital,2026-04-26 08:22:08.464303
Wellness,Dadar,Cetrizine,Allergy,9,26,11,Medium,2,Summer,No,2025-04-08,Low Stock,9796344007,10,23,No,35,24x7,2026-04-26 08:22:08.464303
Apollo,Bandra,Crocin,Painkiller,79,50,10,Medium,3,Rainy,No,2025-06-22,Available,9335336772,10,23,No,21,Retail,2026-04-26 08:22:08.464303
Apollo,Andheri,Vitamin D,Supplement,24,36,14,Medium,5,Summer,No,2025-09-11,Low Stock,9887036767,8,22,Yes,34,Retail,2026-04-26 08:22:08.464303
Apollo,Thane,Dolo,Painkiller,10,22,8,Low,4,Rainy,No,2025-08-06,Low Stock,9422381013,8,21,No,52,24x7,2026-04-26 08:22:08.464303
Wellness,Dadar,Insulin,Diabetes,44,37,5,Low,3,Summer,No,2025-03-04,Available,9190612551,10,21,Yes,35,24x7,2026-04-26 08:22:08.464303
MedPlus,Thane,Dolo,Painkiller,65,30,16,High,5,Winter,Yes,2025-11-19,Available,9584068178,8,23,Yes,33,24x7,2026-04-26 08:22:08.464303
Apollo,Andheri,Metformin,Diabetes,33,21,6,Low,2,Summer,No,2025-03-07,Available,9396471741,10,23,No,35,24x7,2026-04-26 08:22:08.464303
Apollo,Dadar,Paracetamol,Painkiller,51,42,7,Low,6,Winter,No,2025-11-14,Available,9135922594,9,21,Yes,32,Retail,2026-04-26 08:22:08.464303
Apollo,Dadar,ORS,Hydration,70,31,15,Medium,4,Winter,Yes,2026-01-01,Available,9153018947,9,22,Yes,47,Hospital,2026-04-26 08:22:08.464303
MedPlus,Dadar,Azithromycin,Antibiotic,19,36,6,Low,5,Summer,No,2025-09-05,Low Stock,9216147791,10,21,No,17,24x7,2026-04-26 08:22:08.464303
Apollo,Thane,Amoxicillin,Antibiotic,10,32,20,High,4,Rainy,Yes,2025-08-07,Low Stock,9540771442,9,21,No,32,Hospital,2026-04-26 08:22:08.464303
Apollo,Dadar,Crocin,Painkiller,59,32,15,Medium,5,Rainy,No,2025-08-09,Available,9748047176,10,21,Yes,47,Retail,2026-04-26 08:22:08.464303
Wellness,Bandra,Crocin,Painkiller,14,30,15,Medium,5,Summer,No,2025-09-17,Low Stock,9459865669,9,22,No,19,Retail,2026-04-26 08:22:08.464303
Apollo,Dadar,Paracetamol,Painkiller,41,28,14,Medium,6,Rainy,Yes,2025-06-29,Available,9812233962,8,23,Yes,28,24x7,2026-04-26 08:22:08.464303
Apollo,Andheri,Paracetamol,Painkiller,19,32,13,Medium,6,Summer,No,2025-05-03,Low Stock,9161658850,8,21,No,37,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,Azithromycin,Antibiotic,74,45,6,Low,3,Summer,No,2025-05-29,Available,9955176177,8,22,Yes,55,24x7,2026-04-26 08:22:08.464303
Wellness,Dadar,Cetrizine,Allergy,75,20,14,Medium,2,Summer,No,2025-05-23,Available,9113795932,10,23,No,23,Retail,2026-04-26 08:22:08.464303
MedPlus,Dadar,Dolo,Painkiller,9,27,23,High,4,Rainy,Yes,2025-06-29,Low Stock,9377927029,8,23,No,41,24x7,2026-04-26 08:22:08.464303
MedPlus,Thane,Insulin,Diabetes,24,43,5,Low,5,Winter,No,2025-01-11,Low Stock,9468801164,10,23,No,30,Retail,2026-04-26 08:22:08.464303
Wellness,Thane,Insulin,Diabetes,76,39,21,High,4,Rainy,Yes,2025-08-12,Available,9863670395,9,21,Yes,24,24x7,2026-04-26 08:22:08.464303
Guardian,Andheri,Azithromycin,Antibiotic,77,26,13,Medium,5,Rainy,No,2025-07-13,Available,9471836925,9,23,Yes,46,24x7,2026-04-26 08:22:08.464303
Apollo,Bandra,Metformin,Diabetes,61,36,13,Medium,2,Winter,No,2025-11-28,Available,9384699296,8,21,No,23,24x7,2026-04-26 08:22:08.464303
Apollo,Dadar,Metformin,Diabetes,30,27,12,Medium,3,Rainy,Yes,2025-07-22,Available,9105308110,9,22,No,50,24x7,2026-04-26 08:22:08.464303
Apollo,Thane,Vitamin D,Supplement,80,50,11,Medium,2,Winter,No,2025-12-20,Available,9707494720,9,22,No,53,Hospital,2026-04-26 08:22:08.464303
Apollo,Andheri,Insulin,Diabetes,57,26,6,Low,5,Rainy,No,2025-08-31,Available,9965178957,10,22,No,54,Retail,2026-04-26 08:22:08.464303
Wellness,Andheri,Metformin,Diabetes,24,23,12,Medium,3,Summer,No,2025-03-14,Available,9622555493,10,21,Yes,58,Hospital,2026-04-26 08:22:08.464303
Wellness,Andheri,Vitamin D,Supplement,25,37,13,Medium,2,Summer,No,2025-10-26,Low Stock,9982437659,10,23,No,43,Retail,2026-04-26 08:22:08.464303
MedPlus,Bandra,Amoxicillin,Antibiotic,33,35,8,Low,5,Winter,No,2025-01-27,Low Stock,9432527867,10,21,Yes,33,Hospital,2026-04-26 08:22:08.464303
Wellness,Andheri,Amoxicillin,Antibiotic,16,35,13,Medium,5,Winter,No,2025-12-15,Low Stock,9957719891,8,22,No,50,Retail,2026-04-26 08:22:08.464303
MedPlus,Dadar,Cetrizine,Allergy,3,33,19,High,2,Winter,Yes,2025-01-24,Low Stock,9824650400,9,21,No,36,Retail,2026-04-26 08:22:08.464303
Wellness,Bandra,ORS,Hydration,69,35,14,Medium,6,Rainy,No,2025-07-27,Available,9785191880,10,21,Yes,59,24x7,2026-04-26 08:22:08.464303
Wellness,Thane,Insulin,Diabetes,46,32,8,Low,5,Summer,No,2025-10-29,Available,9525229038,8,22,No,58,Hospital,2026-04-26 08:22:08.464303
MedPlus,Thane,Cetrizine,Allergy,53,47,17,High,4,Winter,Yes,2025-01-04,Available,9165896330,10,22,No,54,Retail,2026-04-26 08:22:08.464303
MedPlus,Thane,Dolo,Painkiller,27,37,9,Medium,5,Summer,No,2025-05-31,Low Stock,9439162449,10,23,No,40,Hospital,2026-04-26 08:22:08.464303
MedPlus,Andheri,ORS,Hydration,73,20,12,Medium,6,Winter,No,2025-12-28,Available,9107637173,9,21,No,22,Hospital,2026-04-26 08:22:08.464303
Wellness,Thane,Cetrizine,Allergy,76,25,21,High,3,Rainy,Yes,2025-08-05,Available,9352094923,8,23,Yes,14,Retail,2026-04-26 08:22:08.464303
MedPlus,Bandra,Paracetamol,Painkiller,35,33,12,Medium,5,Summer,No,2025-05-30,Available,9531584662,9,21,Yes,55,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,Vitamin D,Supplement,18,21,13,Medium,2,Summer,No,2025-02-21,Low Stock,9649974660,9,22,Yes,48,Retail,2026-04-26 08:22:08.464303
Wellness,Andheri,Crocin,Painkiller,46,37,18,High,5,Rainy,Yes,2025-07-08,Available,9841960363,10,22,No,31,Retail,2026-04-26 08:22:08.464303
Guardian,Dadar,Crocin,Painkiller,3,50,8,Low,5,Summer,No,2025-10-23,Low Stock,9582954375,10,22,Yes,20,Retail,2026-04-26 08:22:08.464303
Guardian,Dadar,Insulin,Diabetes,58,29,12,Medium,6,Summer,No,2025-02-04,Available,9983545920,9,21,No,38,Retail,2026-04-26 08:22:08.464303
Apollo,Dadar,Metformin,Diabetes,58,34,12,Medium,5,Summer,No,2025-03-10,Available,9494920155,9,21,No,37,Retail,2026-04-26 08:22:08.464303
Apollo,Thane,Crocin,Painkiller,24,33,19,High,5,Winter,Yes,2025-11-09,Low Stock,9190587401,9,21,Yes,11,Hospital,2026-04-26 08:22:08.464303
Apollo,Thane,Paracetamol,Painkiller,10,41,9,Medium,2,Summer,No,2025-09-13,Low Stock,9434963948,8,22,No,16,Hospital,2026-04-26 08:22:08.464303
Wellness,Bandra,Azithromycin,Antibiotic,76,26,9,Medium,2,Summer,No,2025-03-26,Available,9127284151,8,21,No,31,Hospital,2026-04-26 08:22:08.464303
Guardian,Bandra,Crocin,Painkiller,4,24,8,Low,3,Rainy,No,2025-06-07,Low Stock,9851798029,10,23,No,56,24x7,2026-04-26 08:22:08.464303
Guardian,Dadar,Vitamin D,Supplement,28,40,7,Low,5,Summer,No,2025-09-14,Low Stock,9894802352,9,23,No,51,24x7,2026-04-26 08:22:08.464303
Guardian,Andheri,Dolo,Painkiller,57,26,15,Medium,3,Rainy,No,2025-07-02,Available,9329955790,8,21,Yes,24,24x7,2026-04-26 08:22:08.464303
Guardian,Dadar,Cetrizine,Allergy,54,25,13,Medium,4,Winter,No,2025-01-09,Available,9102057356,9,21,No,14,24x7,2026-04-26 08:22:08.464303
Apollo,Bandra,Amoxicillin,Antibiotic,44,30,15,Medium,4,Rainy,No,2025-06-05,Available,9661660006,9,22,Yes,18,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,ORS,Hydration,25,32,21,High,5,Winter,Yes,2025-01-11,Low Stock,9409627443,8,22,Yes,49,24x7,2026-04-26 08:22:08.464303
Apollo,Thane,Insulin,Diabetes,19,29,14,Medium,2,Winter,No,2025-12-02,Low Stock,9778695009,9,23,No,12,Retail,2026-04-26 08:22:08.464303
Guardian,Dadar,Vitamin D,Supplement,25,38,18,High,3,Winter,Yes,2025-01-21,Low Stock,9594158746,10,23,Yes,34,24x7,2026-04-26 08:22:08.464303
MedPlus,Bandra,Cetrizine,Allergy,16,21,13,Medium,3,Summer,No,2025-02-11,Low Stock,9211830353,10,23,Yes,12,Retail,2026-04-26 08:22:08.464303
MedPlus,Thane,Amoxicillin,Antibiotic,9,26,8,Low,4,Summer,No,2025-09-24,Low Stock,9396831545,8,21,Yes,26,Hospital,2026-04-26 08:22:08.464303
MedPlus,Thane,Crocin,Painkiller,61,36,6,Low,3,Summer,No,2025-05-30,Available,9486953618,9,23,No,51,Retail,2026-04-26 08:22:08.464303
Wellness,Dadar,Dolo,Painkiller,39,46,12,Medium,2,Summer,No,2025-02-12,Low Stock,9363897186,8,22,No,13,Retail,2026-04-26 08:22:08.464303
Wellness,Andheri,Paracetamol,Painkiller,20,30,20,High,5,Rainy,Yes,2025-08-22,Low Stock,9958050161,10,23,No,47,Retail,2026-04-26 08:22:08.464303
Guardian,Thane,Vitamin D,Supplement,63,49,19,High,4,Rainy,Yes,2025-07-28,Available,9893774207,9,22,No,26,Hospital,2026-04-26 08:22:08.464303
Apollo,Dadar,Cetrizine,Allergy,6,28,16,High,2,Rainy,Yes,2025-08-17,Low Stock,9678920903,10,21,No,52,Hospital,2026-04-26 08:22:08.464303
MedPlus,Andheri,Amoxicillin,Antibiotic,75,27,5,Low,2,Rainy,No,2025-06-16,Available,9436337542,8,22,No,14,24x7,2026-04-26 08:22:08.464303
Apollo,Andheri,Paracetamol,Painkiller,41,36,12,Medium,6,Summer,No,2025-09-27,Available,9331902860,8,23,Yes,21,Retail,2026-04-26 08:22:08.464303
Wellness,Dadar,Metformin,Diabetes,27,25,14,Medium,3,Winter,No,2025-11-18,Available,9662878275,10,21,No,31,24x7,2026-04-26 08:22:08.464303
MedPlus,Andheri,Insulin,Diabetes,75,27,12,Medium,4,Summer,No,2025-03-12,Available,9341418601,10,21,Yes,24,Hospital,2026-04-26 08:22:08.464303
Wellness,Andheri,ORS,Hydration,69,44,13,Medium,3,Summer,No,2025-05-21,Available,9726912705,9,22,Yes,27,24x7,2026-04-26 08:22:08.464303
Apollo,Thane,Vitamin D,Supplement,52,37,6,Low,4,Summer,No,2025-09-06,Available,9947690717,8,22,No,13,Retail,2026-04-26 08:22:08.464303
Guardian,Andheri,Insulin,Diabetes,29,24,23,High,6,Winter,Yes,2025-01-23,Available,9571930953,8,21,No,27,Hospital,2026-04-26 08:22:08.464303
Guardian,Andheri,Vitamin D,Supplement,65,36,15,Medium,2,Winter,No,2025-01-12,Available,9751937950,8,21,Yes,60,Retail,2026-04-26 08:22:08.464303
Wellness,Bandra,Dolo,Painkiller,63,33,9,Medium,4,Summer,No,2025-10-25,Available,9697447544,9,23,Yes,14,Retail,2026-04-26 08:22:08.464303
Wellness,Thane,Dolo,Painkiller,9,27,6,Low,2,Summer,No,2025-09-01,Low Stock,9417219083,9,21,No,57,24x7,2026-04-26 08:22:08.464303
Apollo,Dadar,Crocin,Painkiller,17,26,7,Low,2,Winter,No,2025-11-13,Low Stock,9455790735,8,22,No,56,Retail,2026-04-26 08:22:08.464303
Apollo,Thane,ORS,Hydration,0,44,18,High,2,Winter,Yes,2025-01-23,Out of Stock,9520863525,8,21,No,54,Retail,2026-04-26 08:22:08.464303
Wellness,Dadar,Paracetamol,Painkiller,62,31,6,Low,2,Summer,No,2025-04-10,Available,9447996248,10,21,No,58,Hospital,2026-04-26 08:22:08.464303
MedPlus,Thane,Vitamin D,Supplement,49,42,5,Low,5,Summer,No,2025-02-22,Available,9825403018,8,22,Yes,34,Hospital,2026-04-26 08:22:08.464303
Apollo,Dadar,Crocin,Painkiller,48,36,5,Low,4,Summer,No,2025-05-02,Available,9258520954,9,22,Yes,39,24x7,2026-04-26 08:22:08.464303
Guardian,Dadar,Cetrizine,Allergy,39,31,5,Low,6,Summer,No,2025-04-06,Available,9868621666,8,21,No,26,24x7,2026-04-26 08:22:08.464303
Wellness,Bandra,Cetrizine,Allergy,6,48,6,Low,2,Summer,No,2025-09-07,Low Stock,9342701293,8,21,Yes,52,24x7,2026-04-26 08:22:08.464303
MedPlus,Dadar,ORS,Hydration,38,21,7,Low,6,Summer,No,2025-02-04,Available,9262090210,9,23,Yes,45,Retail,2026-04-26 08:22:08.464303
MedPlus,Thane,ORS,Hydration,68,31,12,Medium,5,Summer,No,2025-02-11,Available,9814442359,10,22,No,14,Hospital,2026-04-26 08:22:08.464303
Guardian,Thane,Metformin,Diabetes,56,28,16,High,2,Rainy,Yes,2025-06-28,Available,9274874514,9,23,No,22,Retail,2026-04-26 08:22:08.464303
MedPlus,Dadar,ORS,Hydration,24,24,8,Low,4,Summer,No,2025-02-23,Available,9688394155,10,23,Yes,59,24x7,2026-04-26 08:22:08.464303
Wellness,Bandra,Vitamin D,Supplement,15,33,23,High,6,Winter,Yes,2025-01-07,Low Stock,9276999025,10,23,No,31,Hospital,2026-04-26 08:22:08.464303
Wellness,Thane,Insulin,Diabetes,30,50,15,Medium,3,Rainy,No,2025-07-19,Low Stock,9972692829,9,23,No,60,Hospital,2026-04-26 08:22:08.464303
Wellness,Thane,Metformin,Diabetes,62,49,19,High,6,Rainy,Yes,2025-08-08,Available,9516790819,10,23,No,39,24x7,2026-04-26 08:22:08.464303
MedPlus,Thane,ORS,Hydration,17,34,11,Medium,4,Summer,No,2025-04-12,Low Stock,9688538513,8,21,Yes,52,Hospital,2026-04-26 08:22:08.464303
Apollo,Andheri,Crocin,Painkiller,53,49,17,High,2,Winter,Yes,2025-01-06,Available,9597155691,10,21,Yes,20,Retail,2026-04-26 08:22:08.464303
Wellness,Dadar,Vitamin D,Supplement,2,23,6,Low,6,Summer,No,2025-02-05,Low Stock,9867677468,9,22,No,40,24x7,2026-04-26 08:22:08.464303
Wellness,Andheri,Paracetamol,Painkiller,12,38,6,Low,4,Summer,No,2025-10-18,Low Stock,9480808651,8,21,Yes,20,24x7,2026-04-26 08:22:08.464303
Guardian,Bandra,Crocin,Painkiller,67,48,13,Medium,5,Summer,No,2025-09-15,Available,9816566267,10,21,Yes,58,Retail,2026-04-26 08:22:08.464303
Guardian,Bandra,Paracetamol,Painkiller,7,41,15,Medium,2,Summer,No,2025-02-06,Low Stock,9741557255,9,23,No,32,Hospital,2026-04-26 08:22:08.464303
Wellness,Bandra,Vitamin D,Supplement,70,40,15,Medium,2,Summer,No,2025-04-26,Available,9279612252,8,23,Yes,44,Hospital,2026-04-26 08:22:08.464303
Guardian,Dadar,Dolo,Painkiller,39,21,6,Low,6,Summer,No,2025-09-05,Available,9304672912,8,21,No,42,24x7,2026-04-26 08:22:08.464303
MedPlus,Andheri,Dolo,Painkiller,74,33,10,Medium,6,Summer,No,2025-10-23,Available,9629209307,8,22,Yes,37,Hospital,2026-04-26 08:22:08.464303
Wellness,Thane,Metformin,Diabetes,38,34,13,Medium,6,Summer,No,2025-05-10,Available,9990757523,9,21,No,44,Retail,2026-04-26 08:22:08.464303
MedPlus,Andheri,ORS,Hydration,48,31,18,High,6,Rainy,Yes,2025-08-29,Available,9576535490,9,21,No,21,Hospital,2026-04-26 08:22:08.464303
Apollo,Andheri,Vitamin D,Supplement,32,42,11,Medium,3,Summer,No,2025-02-09,Low Stock,9454737343,10,23,No,36,Retail,2026-04-26 08:22:08.464303
Guardian,Andheri,Amoxicillin,Antibiotic,2,43,13,Medium,5,Summer,No,2025-03-20,Low Stock,9930072272,8,23,No,37,Hospital,2026-04-26 08:22:08.464303
Guardian,Bandra,Dolo,Painkiller,8,44,16,High,5,Winter,Yes,2025-12-01,Low Stock,9397150488,10,21,Yes,34,24x7,2026-04-26 08:22:08.464303
MedPlus,Bandra,Crocin,Painkiller,67,39,14,Medium,2,Winter,Yes,2025-12-28,Available,9441260010,10,23,Yes,50,24x7,2026-04-26 08:22:08.464303
MedPlus,Thane,Insulin,Diabetes,30,43,9,Medium,3,Winter,No,2025-12-26,Low Stock,9663659958,9,21,Yes,19,Retail,2026-04-26 08:22:08.464303
Wellness,Thane,ORS,Hydration,60,37,24,High,3,Winter,Yes,2025-12-22,Available,9380083132,8,21,Yes,26,Hospital,2026-04-26 08:22:08.464303
Wellness,Dadar,Amoxicillin,Antibiotic,15,35,16,High,6,Winter,Yes,2025-01-28,Low Stock,9524555585,9,21,No,40,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,Paracetamol,Painkiller,51,35,6,Low,6,Summer,No,2025-09-23,Available,9139496269,10,22,Yes,38,Hospital,2026-04-26 08:22:08.464303
MedPlus,Thane,Metformin,Diabetes,44,24,5,Low,4,Rainy,No,2025-08-05,Available,9705257364,10,22,Yes,33,Hospital,2026-04-26 08:22:08.464303
Apollo,Dadar,Azithromycin,Antibiotic,20,27,9,Medium,5,Winter,No,2025-01-14,Low Stock,9548369603,8,21,No,32,Hospital,2026-04-26 08:22:08.464303
MedPlus,Dadar,Amoxicillin,Antibiotic,47,21,11,Medium,6,Summer,No,2025-05-18,Available,9301130492,10,22,Yes,28,Retail,2026-04-26 08:22:08.464303
Apollo,Dadar,Cetrizine,Allergy,63,21,6,Low,4,Summer,No,2025-03-10,Available,9615051385,8,21,Yes,41,24x7,2026-04-26 08:22:08.464303
MedPlus,Thane,Insulin,Diabetes,20,31,12,Medium,4,Winter,Yes,2025-01-08,Low Stock,9750170645,10,21,Yes,34,Hospital,2026-04-26 08:22:08.464303
Apollo,Andheri,Azithromycin,Antibiotic,68,44,15,Medium,4,Rainy,Yes,2025-07-04,Available,9437761239,10,23,No,25,24x7,2026-04-26 08:22:08.464303
Apollo,Dadar,Dolo,Painkiller,73,38,10,Medium,6,Summer,No,2025-09-17,Available,9426270872,10,21,No,40,24x7,2026-04-26 08:22:08.464303
MedPlus,Dadar,Cetrizine,Allergy,25,24,13,Medium,5,Winter,Yes,2025-11-14,Available,9472909339,9,23,Yes,36,Hospital,2026-04-26 08:22:08.464303
Wellness,Dadar,Dolo,Painkiller,10,50,12,Medium,4,Rainy,Yes,2025-08-14,Low Stock,9391652926,10,22,No,12,24x7,2026-04-26 08:22:08.464303
Apollo,Bandra,Vitamin D,Supplement,67,28,7,Low,4,Summer,No,2025-10-05,Available,9507432032,9,21,No,33,Hospital,2026-04-26 08:22:08.464303
Apollo,Bandra,Metformin,Diabetes,17,26,5,Low,3,Summer,No,2025-02-01,Low Stock,9149864096,9,23,No,47,Retail,2026-04-26 08:22:08.464303
Apollo,Dadar,ORS,Hydration,60,45,18,High,5,Rainy,Yes,2025-07-05,Available,9621285470,9,23,No,32,Hospital,2026-04-26 08:22:08.464303
Guardian,Bandra,Dolo,Painkiller,60,50,14,Medium,3,Rainy,Yes,2025-07-17,Available,9496809423,8,22,Yes,31,Retail,2026-04-26 08:22:08.464303
MedPlus,Thane,Vitamin D,Supplement,36,47,7,Low,2,Winter,No,2025-12-26,Low Stock,9389275812,8,23,No,13,Hospital,2026-04-26 08:22:08.464303
MedPlus,Thane,Vitamin D,Supplement,16,29,10,Medium,4,Summer,No,2025-10-06,Low Stock,9655147583,8,21,Yes,57,Retail,2026-04-26 08:22:08.464303
Wellness,Thane,Paracetamol,Painkiller,80,24,12,Medium,5,Summer,No,2025-03-22,Available,9957144994,10,21,No,18,Hospital,2026-04-26 08:22:08.464303
Guardian,Thane,Crocin,Painkiller,12,40,10,Medium,4,Summer,No,2025-04-16,Low Stock,9615354397,9,22,Yes,35,24x7,2026-04-26 08:22:08.464303
Guardian,Andheri,Crocin,Painkiller,64,38,7,Low,4,Winter,No,2025-11-19,Available,9800937105,8,23,No,36,Retail,2026-04-26 08:22:08.464303
Guardian,Bandra,Vitamin D,Supplement,71,25,7,Low,3,Summer,No,2025-04-08,Available,9450234728,9,22,No,12,24x7,2026-04-26 08:22:08.464303
Apollo,Bandra,Crocin,Painkiller,26,24,20,High,6,Rainy,Yes,2025-07-07,Available,9975857874,8,21,No,14,Hospital,2026-04-26 08:22:08.464303
Guardian,Andheri,Vitamin D,Supplement,0,31,15,Medium,3,Summer,No,2025-02-11,Out of Stock,9640251802,10,23,Yes,13,Retail,2026-04-26 08:22:08.464303
Guardian,Thane,ORS,Hydration,34,50,15,Medium,3,Summer,No,2025-05-21,Low Stock,9621561579,10,22,No,55,Hospital,2026-04-26 08:22:08.464303
MedPlus,Thane,Vitamin D,Supplement,35,26,13,Medium,4,Rainy,No,2025-08-15,Available,9795323590,10,22,No,43,Hospital,2026-04-26 08:22:08.464303
Apollo,Andheri,Vitamin D,Supplement,75,47,10,Medium,4,Summer,No,2025-09-23,Available,9755548957,9,21,No,55,24x7,2026-04-26 08:22:08.464303
Wellness,Dadar,Dolo,Painkiller,66,43,19,High,3,Rainy,Yes,2025-07-29,Available,9187952289,8,23,Yes,27,24x7,2026-04-26 08:22:08.464303
Guardian,Dadar,Crocin,Painkiller,15,44,6,Low,2,Summer,No,2025-05-23,Low Stock,9539878345,8,21,No,17,24x7,2026-04-26 08:22:08.464303
Guardian,Dadar,Paracetamol,Painkiller,23,45,12,Medium,4,Summer,No,2025-03-22,Low Stock,9655216023,9,22,Yes,54,Hospital,2026-04-26 08:22:08.464303
Guardian,Thane,Vitamin D,Supplement,18,24,10,Medium,5,Winter,No,2025-12-26,Low Stock,9916413445,8,21,Yes,23,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,Vitamin D,Supplement,22,39,11,Medium,3,Summer,No,2025-04-14,Low Stock,9517735365,8,21,Yes,39,Retail,2026-04-26 08:22:08.464303
MedPlus,Bandra,Crocin,Painkiller,64,45,10,Medium,5,Rainy,No,2025-08-20,Available,9613666470,9,21,Yes,15,Retail,2026-04-26 08:22:08.464303
Guardian,Thane,Vitamin D,Supplement,75,22,23,High,5,Rainy,Yes,2025-07-25,Available,9484768759,10,21,Yes,15,Hospital,2026-04-26 08:22:08.464303
